shk_id,dt,employee_id,place_cod,tare_id,tare_type,isdeleted,isstock,chrt_id,state_id,transfer_box_id,correction_dt,wbsticker_id
2,2024-04-25 06:22:32.0,208852,925559417,700458280,CON,0,0,43793486,PEP,0,2000-01-01 03:00:00.0,17553486756
6,2024-08-02 05:06:26.0,1259604,923762124,162456204,BOX,0,1,492955,WLN,0,2000-01-01 03:00:00.0,6
18,2024-06-06 00:48:23.0,1213132,927108669,2193035261,TBX,0,0,37094647,OPS,2193035261,2000-01-01 03:00:00.0,18
23,2024-06-08 01:16:03.0,552716,945719460,0,,0,0,290736757,WMI,0,2000-01-01 03:00:00.0,23
47,2024-03-17 17:58:47.0,147359,943777442,0,,0,0,630179,PEP,0,2024-03-18 20:18:10.0,8075556203
79,2024-08-03 13:13:09.0,211112,927101972,3541337019,TBX,0,0,134725960,OPS,3541337019,2000-01-01 03:00:00.0,13727708936
101,2021-07-28 22:08:49.0,22175,901013843,122351758,BOX,0,0,72282,FRS,0,1970-01-01 07:00:00.0,0
106,2024-04-22 05:30:38.0,1353756,914360743,0,,0,0,408768,WPU,0,2024-04-26 04:51:13.0,18023180111
110,2023-11-16 16:08:24.0,271935,938245118,0,,0,0,184578,PEP,0,2023-11-21 23:33:33.0,110
114,2024-01-17 16:13:16.0,756371,910672773,184711192,BOX,0,1,242453,WLN,0,2000-01-01 03:00:00.0,15121858985
122,2024-02-29 05:29:02.0,689017,924227402,223075122,BOX,0,0,482881,PEP,0,2000-01-01 03:00:00.0,0
123,2022-09-20 09:38:02.0,123,923511843,0,BOX,0,0,0,FRS,0,1970-01-01 07:00:00.0,0
137,2024-02-03 10:02:46.0,1183022,924869007,0,,0,0,618323,PEP,0,2024-02-28 11:25:51.0,137
158,2024-02-22 07:43:31.0,329432,943776732,221480158,BOX,0,0,575919,PEP,0,2000-01-01 03:00:00.0,158
279,2021-12-30 01:48:38.0,36027,910398072,145116908,BOX,0,0,17163185,WRP,0,1970-01-01 07:00:00.0,0
454,2023-03-27 10:19:21.0,537577,905220474,178896303,BOX,0,0,408768,PEP,0,1970-01-01 07:00:00.0,0
597,2023-10-08 07:50:52.0,694946,918578261,0,BOX,0,0,653149,WMI,2446122954,2000-01-01 03:00:00.0,0
628,2024-02-23 21:00:29.0,748189,943776746,0,,0,0,204169423,PEP,0,2024-02-25 12:12:45.0,628
762,2022-09-15 19:40:58.0,384711,923511843,123,BOX,0,0,0,FRS,0,1970-01-01 07:00:00.0,0
773,2024-02-28 16:15:08.0,637501,942951933,222626773,BOX,0,0,493993,PEP,0,2000-01-01 03:00:00.0,0
790,2024-01-26 03:33:47.0,688780,903252880,218088790,BOX,0,0,383678,PEP,0,2000-01-01 03:00:00.0,0
819,2022-08-27 17:15:22.0,384711,923511843,823218529,BOX,0,0,0,FRS,0,1970-01-01 07:00:00.0,0
909,2024-03-19 00:12:09.0,10015123,927087585,987735006,TBX,0,0,303602,OPS,987735006,2000-01-01 03:00:00.0,0
1092,2024-04-02 11:46:52.0,172180,927080971,102671120,TBX,0,0,152831,OPS,102671120,2000-01-01 03:00:00.0,0
1107,2023-07-16 07:55:12.0,540675,919665949,188139071,BOX,0,0,152831,PEP,0,1970-01-01 07:00:00.0,0
1153,2022-09-25 18:15:26.0,223231,921715451,164135301,BOX,0,0,172018,PEP,0,1970-01-01 07:00:00.0,0
1280,2024-08-01 06:00:08.0,2542,0,0,,1,0,274417812,WOG,0,2000-01-01 03:00:00.0,0
1286,2023-07-05 10:27:51.0,943811,916264404,700530247,CON,0,0,468152,WPU,0,1970-01-01 07:00:00.0,0
2050,2022-08-26 10:51:01.0,203488,913207690,161573215,BOX,0,0,122265,PEP,0,1970-01-01 07:00:00.0,0
2458,2021-04-27 23:24:31.0,113999,914311266,106315347,BOX,0,0,274523,PFP,0,1970-01-01 07:00:00.0,0
2462,2024-02-29 02:49:08.0,629307,943776744,0,,0,0,128890,PEP,0,2024-03-28 04:39:27.0,2462
2682,2023-05-15 10:13:23.0,896397,924033367,700411439,CON,0,0,144553,WPU,0,1970-01-01 07:00:00.0,0
2846,2024-02-17 17:34:03.0,157011,918577970,0,,0,0,641463,PEP,0,2024-02-19 10:00:34.0,2846
3490,2023-07-14 18:49:34.0,544412,918528109,0,BOX,0,0,608294,PEP,0,1970-01-01 07:00:00.0,0
3494,2024-01-16 00:39:53.0,284286,924670482,0,,0,0,117797,PEP,0,2024-01-18 19:48:46.0,3494
3516,2024-07-30 16:11:35.0,901250,920317956,0,,0,1,203172,WLN,0,2000-01-01 03:00:00.0,17305117708
3624,2021-12-30 19:39:37.0,300020,918122879,0,BOX,0,0,8183,BRA,0,1970-01-01 07:00:00.0,0
3678,2022-04-01 21:35:05.0,383354,901013843,138068144,BOX,0,0,122688,WRP,0,1970-01-01 07:00:00.0,0
3694,2022-04-07 21:18:27.0,186383,916545124,0,BOX,0,0,254613,RSA,0,1970-01-01 07:00:00.0,0
3711,2021-12-28 08:34:09.0,95673,900599389,144884780,BOX,0,0,304542,WWE,0,1970-01-01 07:00:00.0,0
3750,2023-06-23 20:04:10.0,195849,923535191,186193750,BOX,0,0,563651,PEP,0,1970-01-01 07:00:00.0,0
3764,2022-08-08 15:45:36.0,131998,916561408,150553686,BOX,0,0,151764,LMB,0,1970-01-01 07:00:00.0,0
3770,2024-02-04 01:05:22.0,231488,921576197,0,,0,0,117985,PEP,0,2024-02-14 19:36:30.0,12163066732
3785,2023-05-05 16:54:52.0,892417,914360750,700105483,CON,0,0,240536,WPU,0,1970-01-01 07:00:00.0,0
3796,2020-08-28 20:56:18.0,27660,900612733,0,BOX,0,0,242766,WIR,0,1970-01-01 07:00:00.0,0
3872,2023-12-22 17:54:46.0,1215286,945460009,0,,0,0,242928,WPT,0,2000-01-01 03:00:00.0,3872
3876,2023-04-14 15:07:20.0,198911,918674560,180858653,BOX,0,0,202853,PEP,0,1970-01-01 07:00:00.0,0
3898,2022-10-16 14:35:18.0,188683,923368435,165564229,BOX,0,0,8925,PEP,0,1970-01-01 07:00:00.0,0
3977,2023-11-11 03:59:18.0,349559,938245022,0,,0,0,115430,PEP,0,2023-11-16 05:00:41.0,3977
4004,2022-03-12 21:12:37.0,142057,912509027,0,BOX,0,0,579943,WSR,0,1970-01-01 07:00:00.0,0
4007,2023-06-23 19:58:43.0,939554,935065537,700512070,CON,0,0,122157,WPU,0,1970-01-01 07:00:00.0,0
4053,2024-02-23 01:40:49.0,629307,943776744,221844053,BOX,0,0,152831,PEP,0,2000-01-01 03:00:00.0,0
4067,2023-07-01 09:04:07.0,785269,918858658,186810065,BOX,0,0,587454,PEP,0,1970-01-01 07:00:00.0,0
4168,2022-05-28 21:49:40.0,248385,916561408,15234,BOX,0,0,209020,LMB,0,1970-01-01 07:00:00.0,0
4189,2022-04-12 09:36:26.0,186383,912605808,0,BOX,0,0,563643,FRS,0,1970-01-01 07:00:00.0,0
4197,2024-02-27 07:37:06.0,1160635,916810910,0,,0,0,73755,PEP,0,2024-02-27 19:21:23.0,4197
4252,2022-03-29 00:20:57.0,214343,913207713,0,BOX,0,0,144628,BRA,0,1970-01-01 07:00:00.0,0
4275,2023-09-20 01:30:08.0,940404,924869007,0,BOX,0,0,186100,PEP,0,1970-01-01 07:00:00.0,0
4276,2022-03-27 08:03:43.0,507958,910580203,0,BOX,0,0,247429,FRS,0,1970-01-01 07:00:00.0,0
4339,2024-06-15 16:24:44.0,1040008,954213185,0,,0,1,243123,WLN,0,2000-01-01 03:00:00.0,15084277693
4366,2023-05-16 15:39:21.0,897764,934354166,900050151,CON,0,0,122163,WPU,0,1970-01-01 07:00:00.0,0
4388,2024-06-02 05:11:20.0,776577,915970630,0,,0,1,172018,LIO,0,2000-01-01 03:00:00.0,13523826445
4477,2023-01-09 09:11:25.0,757734,919344247,172174679,BOX,0,0,195942,PEP,0,1970-01-01 07:00:00.0,0
4490,2023-04-01 02:55:05.0,604482,901731156,0,BOX,0,0,587454,WPT,0,1970-01-01 07:00:00.0,0
4503,2020-08-04 17:03:54.0,207457,911276280,0,BOX,0,0,185130,FOS,0,1970-01-01 07:00:00.0,0
4504,2023-05-18 15:03:37.0,186383,925901440,0,BOX,0,0,209032,RSA,0,1970-01-01 07:00:00.0,0
4509,2024-02-08 17:12:16.0,658737,916561622,0,,0,0,563647,PEP,0,2024-02-09 23:18:53.0,4509
4513,2023-12-27 03:48:08.0,1240854,901062878,0,,0,0,322739,PEP,0,2023-12-31 16:56:54.0,4513
4519,2023-09-13 17:46:42.0,989428,922192305,0,BOX,0,0,148395540,IPS,0,1970-01-01 07:00:00.0,0
4530,2021-03-11 20:23:15.0,197004,911318782,0,BOX,0,0,122802,BRA,0,1970-01-01 07:00:00.0,0
4531,2024-02-12 21:28:24.0,689017,924227402,220534531,BOX,0,0,26789,PEP,0,2000-01-01 03:00:00.0,0
4534,2023-11-25 13:13:41.0,650653,921576199,0,,0,0,196011,PEP,0,2000-01-01 03:00:00.0,12151845892
4537,2023-05-18 15:03:37.0,186383,925901440,0,BOX,0,0,185115,RSA,0,1970-01-01 07:00:00.0,0
4539,2023-02-16 23:56:25.0,186383,911276869,0,BOX,0,0,308568,RSA,0,1970-01-01 07:00:00.0,0
